feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ko00281	Enviroment	Pro-survival	-0.00210061542613262	0.00089860791105214	50	50	0.0236230977600018	0.151187825664012
ko00360	Enviroment	Pro-survival	-0.00202256428058499	0.000882871111990566	50	50	0.026402567317844	0.163525578226647
ko04974	Enviroment	Pro-survival	-0.00337520673269865	0.00148488268377725	50	50	0.0275385965822328	0.165231579493397
ko00590	Enviroment	Pro-survival	-0.00179156444100106	0.000794478650424966	50	50	0.0287299539897371	0.167156095940289
ko05014	Enviroment	Pro-survival	-0.002289519157516	0.00103022076420084	50	50	0.0310054498768236	0.175089599304416
ko00780	Enviroment	Pro-survival	-0.00148523978546668	0.000680103607439534	50	50	0.0338925755191727	0.185924985705176
ko03320	Enviroment	Pro-survival	-0.00195780359094408	0.000917857157343648	50	50	0.0380641607850824	0.203008857520439
ko04141	Enviroment	Pro-survival	-0.00091890527226142	0.000438424977404403	50	50	0.0413863587313367	0.203637180246121
ko00620	Enviroment	Pro-survival	0.00199945776670945	0.000950301525504255	50	50	0.0406399047758792	0.203637180246121
ko00623	Enviroment	Pro-survival	-0.00371320694132726	0.00175663737865121	50	50	0.0397534801037221	0.203637180246121
ko00730	Enviroment	Pro-survival	0.00162342747167601	0.00078391936101165	50	50	0.0437671593107028	0.203637180246121
ko04210	Enviroment	Pro-survival	-0.00265239869546705	0.00128570610825079	50	50	0.044545633178839	0.203637180246121
ko04070	Enviroment	Pro-survival	-0.00103947963289185	0.000503591984566463	50	50	0.0444327910047418	0.203637180246121
ko04964	Enviroment	Pro-survival	0.00141392560770205	0.000690906085516666	50	50	0.0462069203273011	0.204437145899268
ko04920	Enviroment	Pro-survival	-0.00284769685530512	0.00139577534601163	50	50	0.0468501792685824	0.204437145899268
ko03450	Enviroment	Pro-survival	-0.000788768342882623	0.000388787218399114	50	50	0.0480462550416312	0.204997354844293
ko00440	Enviroment	Pro-survival	0.00130020551507087	0.000647983509896457	50	50	0.0504498649057754	0.210573349171932
ko00513	Enviroment	Pro-survival	-0.0012255791457183	0.000617677437454053	50	49	0.0529701405476126	0.21188056219045
ko03020	Enviroment	Pro-survival	0.00259991355558032	0.00130580851891566	50	50	0.0521854438705606	0.21188056219045
ko00561	Enviroment	Pro-survival	0.00177510013955642	0.000902414283620883	50	50	0.0549713579884237	0.215397974158721
ko05412	Enviroment	Pro-survival	-0.000521739104363713	0.000272210998029448	50	45	0.0612435880841285	0.217754979854679
ko00920	Enviroment	Pro-survival	-0.00191915835692757	0.000983660489985639	50	50	0.0569028536940497	0.217754979854679
ko04020	Enviroment	Pro-survival	-0.000521739104363713	0.000272210998029448	50	45	0.0612435880841285	0.217754979854679
ko05414	Enviroment	Pro-survival	-0.000521739104363713	0.000272210998029448	50	45	0.0612435880841285	0.217754979854679
ko04972	Enviroment	Pro-survival	-0.000521739104363713	0.000272210998029448	50	45	0.0612435880841285	0.217754979854679
ko00950	Enviroment	Pro-survival	-0.00138679820535093	0.000746558681327315	50	50	0.0693678475297002	0.221977112095041
ko01055	Enviroment	Pro-survival	0.00053833287153371	0.000288483938775772	50	50	0.0681472782758699	0.221977112095041
ko02010	Enviroment	Pro-survival	0.00600591317635496	0.00320936910321447	50	50	0.0673953982414581	0.221977112095041
ko00052	Enviroment	Pro-survival	0.00242778304188683	0.00130459344165756	50	50	0.068882165672744	0.221977112095041
ko00790	Enviroment	Pro-survival	-0.00261857799892011	0.00139467389151221	50	50	0.066525477200576	0.221977112095041
ko05410	Enviroment	Pro-survival	-0.000508026056265598	0.000269203859853494	50	46	0.0651963740233177	0.221977112095041
ko00960	Enviroment	Pro-survival	-0.00152209094688142	0.000853807781631341	50	50	0.0809585253000222	0.246730743771496
ko00908	Enviroment	Pro-survival	-0.000917693653034522	0.000512445637877397	50	50	0.0796306550937314	0.246730743771496
ko00670	Enviroment	Pro-survival	-0.00145802158297789	0.000817714006768328	50	50	0.0809029760714835	0.246730743771496
ko00072	Enviroment	Pro-survival	0.00144625593227838	0.000853942280154722	50	50	0.0968178091474176	0.290453427442253
ko00040	Enviroment	Pro-survival	0.00194071152353811	0.00115227237558069	50	50	0.0986267681939342	0.291328299895929
ko00625	Enviroment	Pro-survival	0.00205047765514908	0.00126371247439305	50	50	0.111229358940661	0.318746819650848
ko00785	Enviroment	Pro-survival	-0.00130630790041656	0.000802257811825	50	50	0.110010449195078	0.318746819650848
ko03050	Enviroment	Pro-survival	-0.00065488144317454	0.000413585917562917	50	40	0.119892414509851	0.338519758616049
ko03018	Enviroment	Pro-survival	-0.000982050195022774	0.000627795017857298	50	50	0.124320378244863	0.345934965550922
ko04973	Enviroment	Pro-survival	-0.00200908160171858	0.00132467902642213	50	50	0.135912498708644	0.372788567886565
ko00906	Enviroment	Pro-survival	0.00118878320344144	0.000788011847684249	50	50	0.137959320900897	0.373073093140455
ko00760	Enviroment	Pro-survival	-0.000840192601112746	0.000565905450125208	50	50	0.144164689879525	0.384439173012066
ko00750	Enviroment	Pro-survival	-0.000918875823166848	0.000631348049059288	50	50	0.152062793256601	0.389280750736899
ko00362	Enviroment	Pro-survival	0.00165178940213141	0.00112973921918969	50	50	0.150231126151566	0.389280750736899
ko04621	Enviroment	Pro-survival	-0.00074993479368771	0.000513397280786958	50	50	0.150604858304046	0.389280750736899
ko05142	Enviroment	Pro-survival	-0.000551638826931508	0.000393965685132187	50	50	0.167878248562852	0.423750276581332
ko01053	Enviroment	Pro-survival	-0.00119040163268662	0.000856834486458864	50	50	0.17115266181057	0.423750276581332
ko05143	Enviroment	Pro-survival	-0.000530378471661902	0.000384568901008322	50	50	0.174240880436251	0.423750276581332
ko00910	Enviroment	Pro-survival	-0.0010770346039064	0.00078115250266008	50	50	0.174355582551694	0.423750276581332
ko01051	Enviroment	Pro-survival	0.00138668984012594	0.0010158683577913	50	50	0.178608228932704	0.428659749438489
ko00650	Enviroment	Pro-survival	0.000763543406307871	0.000563497282810821	50	50	0.181757979971872	0.430833730303696
ko04614	Enviroment	Pro-survival	3.9023618394791e-05	2.91484255290463e-05	50	9	0.186945464089881	0.437725964698257
ko00361	Enviroment	Pro-survival	-0.000955480621816384	0.000721807040562362	50	50	0.191861388767612	0.443823935462427
ko00622	Enviroment	Pro-survival	0.00112869386414542	0.000871973537299001	50	50	0.201715623086443	0.46106428134044
ko00562	Enviroment	Pro-survival	-0.000795234339082575	0.000619425514396846	50	50	0.205365865789158	0.463885249782568
ko00260	Enviroment	Pro-survival	-0.000976825105203179	0.000784418220938635	50	50	0.21907164046149	0.489090174053559
ko00051	Enviroment	Pro-survival	0.00162282964652362	0.00132346509552599	50	50	0.226105981626545	0.498992511175825
ko04122	Enviroment	Pro-survival	0.00114666798292808	0.000955924961297207	50	50	0.23620667898753	0.515360026881884
ko00401	Enviroment	Pro-survival	-0.000955518069280018	0.000834703076714661	50	50	0.257992970443401	0.556569104776775
ko00312	Enviroment	Pro-survival	0.00171912648060834	0.00151900669258894	50	50	0.263364629431154	0.561844542786461
ko00740	Enviroment	Pro-survival	-0.00119483074957269	0.0010684224102343	50	50	0.268999045621243	0.565274216140504
ko05120	Enviroment	Pro-survival	-0.000513601653294218	0.000468290309623577	50	50	0.278218697252626	0.565274216140504
ko04910	Enviroment	Pro-survival	0.000861424335411768	0.000786158205260226	50	50	0.278660400125566	0.565274216140504
ko03008	Enviroment	Pro-survival	-0.000254380823367116	0.000232659861384147	50	50	0.279692971527853	0.565274216140504
ko00660	Enviroment	Pro-survival	0.00145663889976426	0.00132056642829983	50	50	0.275509005189035	0.565274216140504
ko00621	Enviroment	Pro-survival	0.00115291272053753	0.00109527532275864	50	50	0.297783818983258	0.595567637966516
ko05211	Enviroment	Pro-survival	-0.000856856710743942	0.000853889018662248	50	50	0.320663541077998	0.628238774356893
ko00903	Enviroment	Pro-survival	0.000747439736353184	0.000741709005757317	50	50	0.318639007009602	0.628238774356893
ko00010	Enviroment	Pro-survival	0.00167055883229322	0.00169516220345609	50	50	0.329327003383456	0.638694794440642
ko00253	Enviroment	Pro-survival	0.000908780128224175	0.000943547278574437	50	50	0.340298222858133	0.653372587887616
ko00364	Enviroment	Pro-survival	-0.000348278113858645	0.000365678400717612	50	45	0.345657438399349	0.657091368046286
ko00472	Enviroment	Pro-survival	-0.000387573808598817	0.000412987257587273	50	49	0.352704326321406	0.663914026016765
ko02020	Enviroment	Pro-survival	0.00237924870907976	0.00264076075220719	50	50	0.372102266957963	0.693627526756591
ko00300	Enviroment	Pro-survival	-0.000304059750242508	0.000349247838621438	50	50	0.388298831029628	0.696905514163789
ko03440	Enviroment	Pro-survival	-0.000676191581034892	0.000776817676124213	50	50	0.388379635497528	0.696905514163789
ko05219	Enviroment	Pro-survival	0.000214452211131641	0.000244434421978435	50	16	0.384671934961869	0.696905514163789
ko00791	Enviroment	Pro-survival	-0.00162101552983658	0.00185673637807208	50	50	0.386984941200207	0.696905514163789
ko00523	Enviroment	Pro-survival	0.0005634365803341	0.000664803266526996	50	50	0.400909536214773	0.706424146545323
ko03010	Enviroment	Pro-survival	-0.00114885087330317	0.00135592489944855	50	50	0.401042874861668	0.706424146545323
ko00380	Enviroment	Pro-survival	0.000513489682305126	0.000618477769734448	50	50	0.410509304861705	0.716525332122248
ko05215	Enviroment	Pro-survival	-0.000385759047758066	0.00049149782130724	50	50	0.436389914336635	0.722300547867533
ko04914	Enviroment	Pro-survival	-0.000385759047758066	0.00049149782130724	50	50	0.436389914336635	0.722300547867533
ko00640	Enviroment	Pro-survival	0.000714767289427853	0.000887715404470248	50	50	0.424688637240362	0.722300547867533
ko04612	Enviroment	Pro-survival	-0.000385759047758066	0.00049149782130724	50	50	0.436389914336635	0.722300547867533
ko04011	Enviroment	Pro-survival	0.000350240153470142	0.000444451915361575	50	50	0.434555339328522	0.722300547867533
ko04112	Enviroment	Pro-survival	-0.000237808283713238	0.00030190811603001	50	50	0.434753949731657	0.722300547867533
ko00250	Enviroment	Pro-survival	-0.000480366713956502	0.000626842112667576	50	50	0.447233612551743	0.73023136639004
ko00710	Enviroment	Pro-survival	-0.000363287659684677	0.000475698714237911	50	50	0.448788027260545	0.73023136639004
ko00290	Enviroment	Pro-survival	0.00109790715422795	0.00147201794326785	50	50	0.459394155312202	0.73950551395001
ko00140	Enviroment	Pro-survival	0.000580279494597542	0.000782905633416152	50	50	0.462190946218756	0.73950551395001
ko03030	Enviroment	Pro-survival	-0.000532001838650713	0.000760539971807707	50	50	0.487612411374884	0.750705323543281
ko00270	Enviroment	Pro-survival	0.000342696769082161	0.000483761038066437	50	50	0.482122541766172	0.750705323543281
ko00941	Enviroment	Pro-survival	4.45435167233876e-05	6.20986260230153e-05	50	9	0.476663633676385	0.750705323543281
ko00531	Enviroment	Pro-survival	0.00124314906206169	0.00178182111289941	50	50	0.488740445015157	0.750705323543281
ko00520	Enviroment	Pro-survival	0.000987728123425821	0.00137948717053609	50	50	0.47745356093799	0.750705323543281
ko00310	Enviroment	Pro-survival	0.000461192284538249	0.000687206204559815	50	50	0.505366086705997	0.764018020846861
ko00970	Enviroment	Pro-survival	-0.000547041947798536	0.000812020398536453	50	50	0.503745986317974	0.764018020846861
ko00860	Enviroment	Pro-survival	0.00210085794405435	0.00317244529926398	50	50	0.510997117590014	0.766495676385021
ko04142	Enviroment	Pro-survival	0.00120694776795901	0.00186256209043796	50	50	0.520070135406959	0.768103584601047
ko00983	Enviroment	Pro-survival	0.000360791943547075	0.000552147808120114	50	50	0.516594833986791	0.768103584601047
ko00195	Enviroment	Pro-survival	-0.000370942850704995	0.000586043127088551	50	50	0.529762827712067	0.776446281837534
ko00564	Enviroment	Pro-survival	0.00032815433311919	0.000528438416107226	50	50	0.537544852658814	0.77973485158076
ko02030	Enviroment	Pro-survival	0.00296565470094237	0.00480631306327016	50	50	0.540128829480423	0.77973485158076
ko00603	Enviroment	Pro-survival	0.000751690712796916	0.0012923126951133	50	50	0.563515446770558	0.787234303222321
ko00480	Enviroment	Pro-survival	-0.000828670038380346	0.00139503501876559	50	50	0.555292264695407	0.787234303222321
ko00230	Enviroment	Pro-survival	-0.000827766344403885	0.00137313038256607	50	50	0.549458502396059	0.787234303222321
ko00900	Enviroment	Pro-survival	0.000245332460868665	0.000419400958333478	50	50	0.561314986061362	0.787234303222321
ko00930	Enviroment	Pro-survival	-0.000513044179532662	0.000887295602476938	50	50	0.565824655441043	0.787234303222321
ko00521	Enviroment	Pro-survival	0.000406071068859905	0.00073290284374377	50	50	0.582110996562659	0.801569272381272
ko00471	Enviroment	Pro-survival	-0.000235295469571007	0.000427362129948651	50	50	0.584477594444677	0.801569272381272
ko00071	Enviroment	Pro-survival	-0.000397628081209634	0.00075031703205613	50	50	0.598591812902845	0.803703692848575
ko00410	Enviroment	Pro-survival	-0.000264021632446021	0.000487566103893422	50	50	0.590661275084314	0.803703692848575
ko00550	Enviroment	Pro-survival	-0.000302904781880145	0.000571541145802115	50	50	0.598569659872461	0.803703692848575
ko00643	Enviroment	Pro-survival	-0.000289420499671945	0.000564999778517799	50	50	0.61082591272737	0.812142915563239
ko00830	Enviroment	Pro-survival	0.000742931642355558	0.00146063396419527	50	50	0.613337097690988	0.812142915563239
ko05100	Enviroment	Pro-survival	0.000126385127742494	0.000259416662994695	50	42	0.628341484868343	0.826312089689875
ko00680	Enviroment	Pro-survival	-0.000366968844023661	0.000781784319346714	50	50	0.640909732134324	0.837106588910137
ko00600	Enviroment	Pro-survival	0.000571996800835309	0.00133083542422026	50	50	0.669262484491449	0.862405349143344
ko03013	Enviroment	Pro-survival	0.000173552586883623	0.000402822984356362	50	50	0.668512739155303	0.862405349143344
ko05340	Enviroment	Pro-survival	0.000301187545357661	0.000739976701711711	50	50	0.685800488488177	0.866274301248224
ko00473	Enviroment	Pro-survival	0.000361640547706829	0.000883279948865566	50	50	0.684046125611131	0.866274301248224
ko02040	Enviroment	Pro-survival	0.00222752355211835	0.00533151422723837	50	50	0.677954177178631	0.866274301248224
ko03410	Enviroment	Pro-survival	0.000244675694356094	0.000632902463926473	50	50	0.700766047131234	0.873682344475305
ko05150	Enviroment	Pro-survival	0.0010940318435121	0.00278549309409596	50	50	0.696235186451645	0.873682344475305
ko03060	Enviroment	Pro-survival	-0.000132749536649326	0.000394972735461541	50	50	0.738261827313063	0.911066734748076
ko00630	Enviroment	Pro-survival	-0.000404825592231028	0.00121402669710427	50	50	0.740241721982811	0.911066734748076
ko00340	Enviroment	Pro-survival	-0.000459398075411501	0.00148036362985311	50	50	0.757655126858514	0.92427426419212
ko03430	Enviroment	Pro-survival	0.000188803980030356	0.000616135688924431	50	50	0.760600696574765	0.92427426419212
ko00330	Enviroment	Pro-survival	0.000335665350703692	0.0011624342247295	50	50	0.774007909097662	0.93465106004246
ko00311	Enviroment	Pro-survival	-0.000282638585614345	0.00117869468924017	50	50	0.811514528780751	0.955749160081955
ko00604	Enviroment	Pro-survival	0.000332149458455511	0.0014990949832405	50	50	0.825591172024425	0.955749160081955
ko00633	Enviroment	Pro-survival	0.000227164959579893	0.00102919921776605	50	50	0.826246554401851	0.955749160081955
ko05020	Enviroment	Pro-survival	0.000129209719446778	0.000585668903167906	50	50	0.82632479465419	0.955749160081955
ko00350	Enviroment	Pro-survival	-0.000227882851527113	0.00102538805424319	50	50	0.825069507899535	0.955749160081955
ko00980	Enviroment	Pro-survival	0.00035536819751226	0.00143252345542748	50	50	0.80513732872046	0.955749160081955
ko00982	Enviroment	Pro-survival	0.000354131140828121	0.00143255202882751	50	50	0.805805447536755	0.955749160081955
ko00626	Enviroment	Pro-survival	0.000355315592398928	0.00170611905177945	50	50	0.835907497331989	0.956470080982565
ko00400	Enviroment	Pro-survival	-0.000440290501093791	0.00212734887077777	50	50	0.836911320859744	0.956470080982565
ko00524	Enviroment	Pro-survival	-6.51202375944418e-05	0.000358943106854214	50	50	0.856800156280381	0.959516454964685
ko00280	Enviroment	Pro-survival	-0.000122791448300803	0.000633722993462818	50	50	0.847179879793156	0.959516454964685
ko00642	Enviroment	Pro-survival	-0.00016671847892512	0.00095809559870726	50	50	0.862589213245319	0.959516454964685
ko00460	Enviroment	Pro-survival	0.000139203141640079	0.000803203439574703	50	50	0.863136607144706	0.959516454964685
ko03420	Enviroment	Pro-survival	8.52364654772324e-05	0.000497052702493904	50	50	0.864564305775472	0.959516454964685
ko00565	Enviroment	Pro-survival	5.18476460471669e-05	0.000363582989126949	50	50	0.887201468344246	0.962018431683565
ko00061	Enviroment	Pro-survival	-9.29360923062284e-05	0.000662821159452643	50	50	0.88907848867412	0.962018431683565
ko00940	Enviroment	Pro-survival	-0.000140372142584853	0.00102716445309979	50	50	0.891871254373305	0.962018431683565
ko00053	Enviroment	Pro-survival	5.55041731886333e-05	0.000403267419773499	50	50	0.891103734450694	0.962018431683565
ko00240	Enviroment	Pro-survival	-0.000194754456897738	0.00137278237459486	50	50	0.887777731970729	0.962018431683565
ko04940	Enviroment	Pro-survival	-5.69291733069404e-06	0.000205185447674188	50	50	0.977980385151566	0.988162607396059
ko04962	Enviroment	Pro-survival	-8.24396662097995e-06	0.000164200476489754	50	11	0.960166004994094	0.988162607396059
ko00627	Enviroment	Pro-survival	6.96684252041196e-05	0.0012408965502663	50	50	0.955460448921475	0.988162607396059
ko00121	Enviroment	Pro-survival	5.6711129693672e-05	0.00113080804478048	50	50	0.960210189097652	0.988162607396059
ko00430	Enviroment	Pro-survival	-1.11345227444133e-05	0.000656591033854575	50	50	0.986540352541869	0.988162607396059
ko01040	Enviroment	Pro-survival	3.56167393947283e-05	0.000477015051853712	50	50	0.940790883256136	0.988162607396059
ko04626	Enviroment	Pro-survival	3.6397372428812e-05	0.000997780505913914	50	50	0.971052238986397	0.988162607396059
ko00120	Enviroment	Pro-survival	6.66773676170048e-05	0.00113058310700471	50	50	0.953216006473914	0.988162607396059
ko02060	Enviroment	Pro-survival	0.000356054102154676	0.00437063217469171	50	50	0.935410804806611	0.988162607396059
ko04622	Enviroment	Pro-survival	6.89478821561649e-05	0.00107986137373306	50	50	0.949355759475702	0.988162607396059
ko00511	Enviroment	Pro-survival	4.69751842606482e-05	0.00206897925851376	50	50	0.981980093163939	0.988162607396059
ko04930	Enviroment	Pro-survival	-3.5202404534264e-06	0.000236035929857898	50	50	0.988162607396059	0.988162607396059
ko00944	Enviroment	Pro-survival	-2.76567204222049e-05	0.000540701317151874	50	50	0.959418486026629	0.988162607396059
ko00770	Enviroment	Pro-survival	1.85831588093747e-05	0.000693450915025233	50	50	0.9787318836871	0.988162607396059
